timestamp;buyer;seller;symbol;currency;price;quantity
0;ALPHA;BETA;DEMO_PEARLS;XIRECS;100;3
100;BETA;ALPHA;DEMO_PEARLS;XIRECS;101;2
200;ALPHA;BETA;DEMO_PEARLS;XIRECS;102;4
300;BETA;ALPHA;DEMO_PEARLS;XIRECS;103;3
400;ALPHA;BETA;DEMO_PEARLS;XIRECS;104;5
500;BETA;ALPHA;DEMO_PEARLS;XIRECS;96;6
600;ALPHA;BETA;DEMO_PEARLS;XIRECS;95;4
700;BETA;ALPHA;DEMO_PEARLS;XIRECS;96;3
800;ALPHA;BETA;DEMO_PEARLS;XIRECS;97;4
900;BETA;ALPHA;DEMO_PEARLS;XIRECS;102;5
1000;ALPHA;BETA;DEMO_PEARLS;XIRECS;105;4
1100;BETA;ALPHA;DEMO_PEARLS;XIRECS;106;3
1200;ALPHA;BETA;DEMO_PEARLS;XIRECS;104;5
1300;BETA;ALPHA;DEMO_PEARLS;XIRECS;101;4
1400;ALPHA;BETA;DEMO_PEARLS;XIRECS;99;3
1500;BETA;ALPHA;DEMO_PEARLS;XIRECS;98;4
1600;ALPHA;BETA;DEMO_PEARLS;XIRECS;100;5
1700;BETA;ALPHA;DEMO_PEARLS;XIRECS;103;4
1800;ALPHA;BETA;DEMO_PEARLS;XIRECS;105;3
1900;BETA;ALPHA;DEMO_PEARLS;XIRECS;104;4
